route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Goa to Mumbai
From INR 900",https://www.redbus.in/bus-tickets/goa-to-mumbai,Zingbus Plus,VE A/C Sleeper (2+1),20:25,15h 25m,11:50,724,4.6,22 Seats available
"Goa to Mumbai
From INR 900",https://www.redbus.in/bus-tickets/goa-to-mumbai,Zingbus Plus,VE A/C Sleeper (2+1),19:40,15h 05m,10:45,793,4.5,27 Seats available
"Goa to Mumbai
From INR 900",https://www.redbus.in/bus-tickets/goa-to-mumbai,AdJolly Tours and Travels,VE A/C Sleeper (2+1),18:25,12h 05m,06:30,1499,4.1,24 Seats available
"Goa to Mumbai
From INR 900",https://www.redbus.in/bus-tickets/goa-to-mumbai,IntrCity SmartBus,AC Sleeper (2+1),21:00,14h 20m,11:20,877,4.3,19 Seats available
"Pandharpur to Goa
From INR 735",https://www.redbus.in/bus-tickets/pandharpur-to-goa,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,12h 45m,10:00,735,3.3,29 Seats available
"Bangalore to Goa
From INR 900",https://www.redbus.in/bus-tickets/bangalore-to-goa,Kadamba Transport Corporation Limited (KTCL) - 141293,Volvo AC Seater 2+2,19:45,12h 30m,08:15,700,3.9,30 Seats available
"Bangalore to Goa
From INR 900",https://www.redbus.in/bus-tickets/bangalore-to-goa,Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,13h 15m,10:15,1199,4.7,19 Seats available
"Bangalore to Goa
From INR 900",https://www.redbus.in/bus-tickets/bangalore-to-goa,Sunrise Tours and Travels,A/C Sleeper (2+1),21:20,12h 55m,10:15,999,4.5,22 Seats available
"Bangalore to Goa
From INR 900",https://www.redbus.in/bus-tickets/bangalore-to-goa,IntrCity SmartBus,AC Sleeper (2+1),20:30,13h 10m,09:40,842,4.3,31 Seats available
"Bangalore to Goa
From INR 900",https://www.redbus.in/bus-tickets/bangalore-to-goa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 Seats available
"Goa to Pandharpur
From INR 735",https://www.redbus.in/bus-tickets/goa-to-pandharpur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,12h 00m,07:00,735,3.4,31 Seats available
"Belagavi to Goa
From INR 170",https://www.redbus.in/bus-tickets/belagavi-to-goa,Shirdi Xpress,A/C Sleeper (2+1),08:15,03h 15m,11:30,480,2.3,20 Seats available
"Belagavi to Goa
From INR 170",https://www.redbus.in/bus-tickets/belagavi-to-goa,S R Travels,NON A/C Sleeper (2+1),01:00,05h 00m,06:00,799,1.6,11 Seats available
"Goa to Bangalore
From INR 900",https://www.redbus.in/bus-tickets/goa-to-bangalore,Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,13h 15m,07:15,1499,4.6,17 Seats available
"Goa to Bangalore
From INR 900",https://www.redbus.in/bus-tickets/goa-to-bangalore,Sunrise Tours and Travels,A/C Sleeper (2+1),18:30,12h 40m,07:10,1399,4.5,5 Seats available
"Goa to Bangalore
From INR 900",https://www.redbus.in/bus-tickets/goa-to-bangalore,IntrCity SmartBus,AC Sleeper (2+1),19:00,13h 35m,08:35,1165,4.1,11 Seats available
"Goa to Bangalore
From INR 900",https://www.redbus.in/bus-tickets/goa-to-bangalore,Streamline tours and travels,A/C Sleeper (2+1),19:00,12h 30m,07:30,1320,4.0,18 Seats available
"Goa to Bangalore
From INR 900",https://www.redbus.in/bus-tickets/goa-to-bangalore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18 Seats available
